期间,国家,主体,供应商,费用类型,FPP场景,Document Category,交易币种,支付币种,Payment Description,Invoice策略,合同号,账单金额(不含税),税额,含税总额,Requester,Business Reviewer,Department,Center,成本中心校验状态,期间一致性状态,金额校验状态,可提交(Y/N),阻断原因
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,0B002,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,2367.35,0,2367.35,,,,0B009,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,0B00D,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,1841.27,0,1841.27,,,,0B100,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,526.08,0,526.08,,,,0BF00,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,1052.16,0,1052.16,,,,0CW00,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,526.08,0,526.08,,,,0CX00,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,0DG00,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,0DX04,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,0EX0C,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,2104.31,0,2104.31,,,,0F300,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,1315.20,0,1315.20,,,,0F407,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,3156.47,0,3156.47,,,,0F408,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,0F409,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,11B00,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,789.12,0,789.12,,,,11B63,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,1052.16,0,1052.16,,,,11B65,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,2104.31,0,2104.31,,,,11B66,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,2104.31,0,2104.31,,,,11B69,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,789.12,0,789.12,,,,11M00,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,12200,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,526.08,0,526.08,,,,13000,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,50503.38,0,50503.38,,,,1300C,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,2893.43,0,2893.43,,,,1300F,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,2104.31,0,2104.31,,,,13023,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,3682.54,0,3682.54,,,,13024,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,526.08,0,526.08,,,,13S00,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,15983,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,13T23,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,14J24,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,526.08,0,526.08,,,,15900,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,15964,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,526.08,0,526.08,,,,15966,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,15977,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,16200,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,789.12,0,789.12,,,,16364,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,16365,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,789.12,0,789.12,,,,16366,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,16400,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,22521,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,526.08,0,526.08,,,,24307,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,2430D,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,526.08,0,526.08,,,,24600,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,2460I,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,526.08,0,526.08,,,,24611,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,24612,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,24613,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,2630.39,0,2630.39,,,,26100,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,8154.20,0,8154.20,,,,26300,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,526.08,0,526.08,,,,29643,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,526.08,0,526.08,,,,31400,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,37200,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,37201,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,2104.31,0,2104.31,,,,37213,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,2104.31,0,2104.31,,,,37214,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,53025,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,55242,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,55762,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,3419.50,0,3419.50,,,,56024,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,56414,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,57400,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,1315.20,0,1315.20,,,,57467,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,58100,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,58104,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,58200,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,62929,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,66100,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,526.08,0,526.08,,,,74261,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,74382,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,76900,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,82100,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,1052.16,0,1052.16,,,,88261,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,1315.20,0,1315.20,,,,89320,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,526.08,0,526.08,,,,89902,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,91063,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,789.12,0,789.12,,,,91800,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,526.08,0,526.08,,,,93900,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,789.12,0,789.12,,,,93960,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,93962,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,93963,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,93965,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,1052.16,0,1052.16,,,,94608,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,526.08,0,526.08,,,,99300,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,526.08,0,526.08,,,,S2A00,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,S2D00,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,789.12,0,789.12,,,,S2X61,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,S3E00,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,789.12,0,789.12,,,,05009,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,09R07,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,09R08,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,0C901,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,13T23,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,31200,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,37213,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,526.08,0,526.08,,,,37214,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,37217,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,3945.58,0,3945.58,,,,55242,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,526.08,0,526.08,,,,71745,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,72201,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,789.12,0,789.12,,,,85509,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,8634F,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,09B00,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,0DI00,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,526.08,0,526.08,,,,0FN00,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,789.12,0,789.12,,,,0FR00,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,0FV00,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,526.08,0,526.08,,,,0H000,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,11B6A,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,12000,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,526.08,0,526.08,,,,12201,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,526.08,0,526.08,,,,12Z00,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,3682.54,0,3682.54,,,,13A00,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,86700,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,2893.43,0,2893.43,,,,86722,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,789.12,0,789.12,,,,87000,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,789.12,0,789.12,,,,88600,ok,ok,ok,Y,
